name;id;popularity;embedding
Travis Scott;0Y5tJX1MQlPlqiwlOH1tJY;90;"[-2.5908606  -2.176899    1.2866689  -1.1495817  -2.828263   -4.996307
 -1.3742255   0.7930905   1.7692746  -3.1445346   1.433102   -0.06642817
  0.67231566  1.3078882  -2.3831542  -1.9465183 ]"
Anuel Aa;2R21vXR83lH98kGeO99Y66;89;"[-0.8359313   0.24446274  3.0118208  -1.0006598  -1.1673063   0.04408891
  5.8541274   2.4868226  -0.27457675  2.5189505   1.6646801  -1.8546611
  2.5141582  -3.2694051  -2.9407442   2.7582211 ]"
Arijit Singh;4YRxDV8wJFPHPTeXepOstw;89;"[ 2.7830608   0.3643047  -1.906871    3.5896735   5.8155375  -1.1090406
  2.3319643   2.0497198  -2.2706964  -3.402504   -2.9445558  -3.1355038
  0.76470304 -3.612965   -0.5108047  -0.29483986]"
Billie Eilish;6qqNVTkY8uBg9cP3Jd7DAH;89;"[ 1.6503236  -3.5280151  -0.07706892  1.4437798  -2.0920835  -0.18414664
  0.5987885   0.73405176  0.6152273  -0.09092081 -0.90551645  0.08309221
 -0.3431451   0.87658256 -0.42682108 -2.4661348 ]"
Coldplay;4gzpq5DPGxSnKTe4SA8HAU;89;"[ 1.036279   -1.4433076   1.3731663  -0.61595815 -0.64052373 -0.4441984
 -3.0337384  -0.12719233 -0.3194692   1.6180522  -0.9693399   0.4710867
  0.5985323   2.4764779   0.23022276 -1.2948045 ]"
David Guetta;1Cs0zKBU1kc0i8ypK3B9ai;89;"[-1.1177605  -0.14575398  2.12134    -0.20977709 -0.5748113  -2.4843943
 -0.32875723 -0.89085346 -1.6911509   0.53038573 -1.8339872   0.8803426
  0.6644184   3.2330952  -0.8860548  -1.3779242 ]"
Harry Styles;6KImCVD70vtIoJWnq6nGn3;89;"[ 1.897146   -2.735258    0.40481403  0.15346342 -2.9249694  -0.28577992
 -0.8673712   0.72180676 -0.58113956 -0.07332257  0.42744684  0.16553615
  0.8243464   0.91179174  0.5813836  -3.212907  ]"
Imagine Dragons;53XhwfbYqKCa1cC15pYq2q;89;"[ 0.65597016 -1.1503567   1.4610379  -0.13008307 -0.13944373 -1.1382717
 -2.3186057  -0.49733865 -0.77213895  0.9277924   0.9337489   0.6847263
  0.59159386  2.790683   -0.3155279  -2.0645447 ]"
Kendrick Lamar;2YZyLoL8N0Wb9xBt1NhZWg;89;"[-2.0148647  -2.3170204   0.8269143  -1.1762853  -2.6563692  -4.2619486
 -1.6778499  -0.00496336  1.1017098  -2.4877734   0.9359794  -0.41407445
 -0.44201657  2.1327689  -1.8161592  -1.6022735 ]"
Lil Baby;5f7VJjfbwm532GiveGC0ZK;89;"[-0.56803024 -0.1976042   0.24590816  0.14153822 -0.4902743  -0.86274725
  0.7256982   0.67126477  0.65959233 -1.01325     0.49395677 -0.7379793
 -0.05251757 -0.6771103  -0.6055888  -0.32940125]"
